forget_set,strategy,budget,tier,baseline_acc,unlearned_acc,diff,overall_baseline,overall_unlearned,overall_diff
forget_influence_100.npy,influence,100,majority,0.59749997,0.42600003,-0.17149994,0.35740006,0.3395,-0.01790005
forget_influence_100.npy,influence,100,mid_tail,0.36975,0.34625,-0.023499995,0.35740006,0.3395,-0.01790005
forget_influence_100.npy,influence,100,long_tail,0.271,0.324,0.053000003,0.35740006,0.3395,-0.01790005
forget_influence_100.npy,influence,100,safety_critical,0.087,0.186,0.09900001,0.35740006,0.3395,-0.01790005
forget_influence_200.npy,influence,200,majority,0.59749997,0.4385,-0.15899998,0.35740006,0.36070004,0.0032999814
forget_influence_200.npy,influence,200,mid_tail,0.36975,0.3725,0.0027500093,0.35740006,0.36070004,0.0032999814
forget_influence_200.npy,influence,200,long_tail,0.271,0.35033333,0.079333335,0.35740006,0.36070004,0.0032999814
forget_influence_200.npy,influence,200,safety_critical,0.087,0.189,0.102,0.35740006,0.36070004,0.0032999814
forget_influence_50.npy,influence,50,majority,0.59749997,0.40200004,-0.19549993,0.35740006,0.31289998,-0.044500083
forget_influence_50.npy,influence,50,mid_tail,0.36975,0.332,-0.037750006,0.35740006,0.31289998,-0.044500083
forget_influence_50.npy,influence,50,long_tail,0.271,0.2806667,0.009666711,0.35740006,0.31289998,-0.044500083
forget_influence_50.npy,influence,50,safety_critical,0.087,0.155,0.068,0.35740006,0.31289998,-0.044500083
forget_random_100.npy,random,100,majority,0.59749997,0.45349994,-0.14400002,0.35740006,0.38509998,0.027699918
forget_random_100.npy,random,100,mid_tail,0.36975,0.40175,0.032000005,0.35740006,0.38509998,0.027699918
forget_random_100.npy,random,100,long_tail,0.271,0.37433335,0.103333354,0.35740006,0.38509998,0.027699918
forget_random_100.npy,random,100,safety_critical,0.087,0.21399999,0.12699999,0.35740006,0.38509998,0.027699918
forget_random_200.npy,random,200,majority,0.59749997,0.45550004,-0.14199993,0.35740006,0.3787,0.021299928
forget_random_200.npy,random,200,mid_tail,0.36975,0.3955,0.025750011,0.35740006,0.3787,0.021299928
forget_random_200.npy,random,200,long_tail,0.271,0.3656667,0.09466669,0.35740006,0.3787,0.021299928
forget_random_200.npy,random,200,safety_critical,0.087,0.197,0.11,0.35740006,0.3787,0.021299928
forget_random_50.npy,random,50,majority,0.59749997,0.423,-0.17449996,0.35740006,0.3413,-0.016100049
forget_random_50.npy,random,50,mid_tail,0.36975,0.353,-0.016750008,0.35740006,0.3413,-0.016100049
forget_random_50.npy,random,50,long_tail,0.271,0.32866672,0.05766672,0.35740006,0.3413,-0.016100049
forget_random_50.npy,random,50,safety_critical,0.087,0.169,0.082,0.35740006,0.3413,-0.016100049
